code,category_eng,category_rus
8050, Nursing/Personal Care ,Уход и Средства Персонального обслуживания)
8062, Hospitals ,Больницы)
8071, Medical and Dental Labs ,Зубные и Медицинские Лаборатории)
8099, Medical Services ,"Практикующие врачи, Медицинские Услуги — нигде ранее не классифицируемые )"
8111," Legal Services, Attorneys ","Адвокаты, Юридические Услуги)"
8211," Elementary, Secondary Schools No1.6041-3","p)(2) (Школы, Начальная и Средняя)"
8220," Colleges, Universities No1.6041-3","p)(2) (Колледжи, Университеты, Профессиональные Школы, и Младшие Колледжи)"
8241, Correspondence Schools No1.6041-3,"p)(2) (Школы, Корреспонденция)"
8244, Business/Secretarial Schools No1.6041-3,p)(2) (Бизнес и школы секретарей)
8249, Vocational/Trade Schools No1.6041-3,"p)(2) (Школы, Торговые и Профессионально-технические"
8299, Educational Services ,Услуги ухода за детьми)
8351, Child Care Services, Child Care Services
8398, Charitable and Social Service Organizations – Fundraising No1.6041-3,p)(Организации Благотворительные и Общественные службы)
8641," Civic, Social, Fraternal Associations No1.6041-3","p)(Ассоциации — Гражданские, Социальные, и Братские)"
8651, Political Organizations ,Политические Организации)
8661, Religious Organizations No1.6041-3,p) (Религиозные организации)
8675, Automobile Associations ,Автомобильные ассоциации)
8699, Membership Organizations ,"Организации, Членство – нигде ранее не классифицируемые )"
8734, Testing Laboratories ,Испытательные Лаборатории (не медицинские))
8911, Architectural/Surveying Services ,"Архитектурные, Инжиниринговые Услуги и Услуги Рассмотрения)"
8931, Accounting/Bookkeeping Services ,"Бухгалтерский учет, Ревизия, и Бухгалтерские Услуги )"
8999," Professional Services, Not Elsewhere Class ",Профессиональные Услуги – нигде ранее не классифицируемые)
9211," Court Costs, Including Alimony and Child Support – Courts of Law No1.6041-3","p)(4) (Судовые Выплаты, включая Алименты и Детскую Поддержку)"
9222, Fines – Government Administrative Entities No1.6041-3,p)(4) (Штрафы)
9223, Bail and Bond Payments ,"payment to the surety for the bond, not the actual bond paid to the government agency) (Залог и Платежные Обязательства)"
9311, Tax Payments – Government Agencies No1.6041-3,p)(4) (Налоговые Платежи)
9399, Government Services ,Not Elsewhere Classified) No1.6041-3(p)(4) (Правительственные Услуги – нигде ранее не классифицируемые)
9402, Postal Services – Government Only No1.6041-3,p)(3) (Почтовые Услуги – Правительство Только)
9405, U.S. Federal Government Agencies or Departments No1.6041-3,p) (Внутриправительственные Закупки -Только Правительство)
9752, –  Британские Бензозаправочные станции., –  Британские Бензозаправочные станции.
9950, Intra-Company Purchases No1.6041-3, Intra-Company Purchases No1.6041-3
